,RNAi Phenotype Observed,Allele Phenotype Observed
WBGene00303115,N.A.,N.A.
WBGene00303139,N.A.,N.A.
WBGene00303140,N.A.,"bacterially unswollen, biofilm absent head, cuticle carbohydrate surface variant, cuticle fragile, cuticle physiology variant, drug hypersensitive, egg laying imipramine hypersensitive, lectin binding occurs, organism hypersensitive desiccation, organism pathogen response variant, post hermaphrodite contact variant, SDS sensitive dauer, skiddy, stage specific cuticle antigenicity variant, surface antigen negative, surface antigenicity variant"
WBGene00303141,N.A.,N.A.
WBGene00303142,N.A.,N.A.
WBGene00303143,N.A.,N.A.
WBGene00303201,N.A.,N.A.
WBGene00303208,N.A.,N.A.
WBGene00303231,N.A.,N.A.
WBGene00303233,N.A.,N.A.
WBGene00303359,N.A.,N.A.
WBGene00303360,N.A.,N.A.
WBGene00303362,N.A.,N.A.
WBGene00303363,N.A.,N.A.
WBGene00303364,N.A.,N.A.
WBGene00303365,N.A.,N.A.
WBGene00303366,N.A.,N.A.
WBGene00303367,N.A.,N.A.
WBGene00303368,N.A.,N.A.
WBGene00303369,N.A.,N.A.
WBGene00303370,"embryonic lethal, lethal, organism oxidative stress resistant, protruding vulva, reduced brood size, resistant to protein aggregation induced paralysis, sick, sterile, sterile progeny, transgene expression increased",N.A.
WBGene00303371,N.A.,N.A.
WBGene00303378,N.A.,N.A.
WBGene00303398,"blistered, body vacuole, everted vulva, intestinal vacuole, locomotion variant, molt defect, small",N.A.
WBGene00303421,N.A.,N.A.
WBGene00303423,N.A.,N.A.
WBGene00303425,N.A.,N.A.
WBGene00304173,N.A.,N.A.
WBGene00304175,N.A.,N.A.
WBGene00304181,N.A.,N.A.
WBGene00304182,N.A.,N.A.
WBGene00304183,N.A.,N.A.
WBGene00304189,N.A.,N.A.
WBGene00304194,N.A.,N.A.
WBGene00304195,N.A.,N.A.
WBGene00304201,N.A.,N.A.
WBGene00304202,N.A.,N.A.
WBGene00304203,N.A.,N.A.
WBGene00304215,N.A.,N.A.
WBGene00304219,N.A.,N.A.
WBGene00304220,N.A.,N.A.
WBGene00304237,N.A.,N.A.
WBGene00304238,N.A.,N.A.
WBGene00304775,N.A.,N.A.
WBGene00304776,N.A.,N.A.
WBGene00304782,N.A.,N.A.
WBGene00304783,N.A.,N.A.
WBGene00304785,N.A.,N.A.
WBGene00304786,N.A.,N.A.
WBGene00304787,N.A.,N.A.
WBGene00304788,transgene expression reduced,N.A.
WBGene00304789,N.A.,N.A.
WBGene00304790,N.A.,N.A.
WBGene00304791,N.A.,N.A.
WBGene00304792,embryonic lethal,N.A.
WBGene00304793,N.A.,N.A.
WBGene00304794,protein aggregation variant,N.A.
WBGene00304797,N.A.,N.A.
WBGene00304798,N.A.,N.A.
WBGene00304806,N.A.,N.A.
WBGene00304808,N.A.,N.A.
WBGene00304811,"sterile, transgene expression increased",N.A.
WBGene00304812,N.A.,N.A.
WBGene00304813,N.A.,N.A.
WBGene00304814,N.A.,N.A.
WBGene00304815,N.A.,N.A.
WBGene00304816,N.A.,"lethal, sterile"
WBGene00304817,N.A.,N.A.
WBGene00304818,N.A.,N.A.
WBGene00304819,N.A.,N.A.
WBGene00304820,N.A.,N.A.
WBGene00304822,N.A.,N.A.
WBGene00304823,N.A.,N.A.
WBGene00304824,N.A.,N.A.
WBGene00304825,N.A.,N.A.
WBGene00304826,N.A.,N.A.
WBGene00304827,N.A.,N.A.
WBGene00304828,N.A.,N.A.
WBGene00304895,N.A.,N.A.
WBGene00304901,N.A.,N.A.
WBGene00304906,N.A.,N.A.
WBGene00304907,N.A.,N.A.
WBGene00304908,N.A.,N.A.
WBGene00304930,N.A.,N.A.
WBGene00304981,N.A.,N.A.
WBGene00304985,N.A.,N.A.
WBGene00304992,N.A.,N.A.
WBGene00304996,N.A.,N.A.
WBGene00305018,N.A.,N.A.
WBGene00305047,N.A.,N.A.
WBGene00305048,shortened life span,N.A.
WBGene00305049,N.A.,N.A.
WBGene00305050,"anterior enclosure defective, comma arrest emb, dorsal intercalation defective, embryonic cell fate specification variant, embryonic lethal, lima bean arrest, one point five fold arrest emb, seam cell morphology variant, two fold arrest, ventral closure defective",N.A.
WBGene00305065,N.A.,N.A.
WBGene00305066,N.A.,N.A.
WBGene00305067,N.A.,N.A.
WBGene00305069,N.A.,N.A.
WBGene00305086,N.A.,N.A.
WBGene00305090,N.A.,N.A.
WBGene00305091,N.A.,N.A.
WBGene00305092,embryonic lethal,N.A.
WBGene00305093,N.A.,N.A.
WBGene00305095,N.A.,N.A.
WBGene00305102,N.A.,N.A.
WBGene00305103,fat content reduced,N.A.
WBGene00305104,N.A.,N.A.
WBGene00305109,N.A.,N.A.
WBGene00305110,N.A.,N.A.
WBGene00305111,N.A.,N.A.
WBGene00305112,dauer lifespan extended,N.A.
WBGene00305113,N.A.,N.A.
WBGene00305114,N.A.,N.A.
WBGene00305130,N.A.,N.A.
WBGene00305131,N.A.,N.A.
WBGene00305132,fat content reduced,N.A.
WBGene00305157,N.A.,N.A.
WBGene00305158,N.A.,N.A.
WBGene00305159,fat content reduced,N.A.
WBGene00305173,"transgene expression increased, transgene expression reduced","transgene expression increased, transgene expression reduced"
WBGene00305233,N.A.,"lethal, sterile, telomere length regulation variant"
WBGene00305234,N.A.,N.A.
WBGene00305235,N.A.,N.A.
WBGene00305236,N.A.,"constitutive egg laying, metabolite content decreased, serotonin metabolism variant"
WBGene00305237,N.A.,N.A.
WBGene00305238,N.A.,N.A.
WBGene00305239,N.A.,N.A.
WBGene00305240,N.A.,N.A.
WBGene00305241,N.A.,N.A.
WBGene00305242,N.A.,N.A.
WBGene00305243,N.A.,N.A.
WBGene00305244,N.A.,N.A.
WBGene00305245,N.A.,slow growth
WBGene00305246,N.A.,N.A.
WBGene00305247,N.A.,"activity level variant, amplitude of sinusoidal movement variant, axon development variant, axon guidance variant, axon morphology variant, axon outgrowth variant, axon trajectory variant, backing decreased, backward point velocity decreased, body posture amplitude variant, body posture wavelength decreased, coiling frequency increased, constitutive egg laying, curly, dumpy, forward locomotion decreased, forward point velocity variant, frequency of body bend variant, head bend angle variant, locomotion variant, loss of asymmetry AWC, loss of left right asymmetry, nose movement variant, path curvature increased, pausing variant, roaming reduced, short, tail bend angle variant, thin, turning frequency variant"
WBGene00305248,N.A.,"axon outgrowth variant, axon trajectory variant, locomotion variant"
WBGene00305249,N.A.,"reduced brood size, spermatogenesis defective hermaphrodite"
WBGene00305250,N.A.,N.A.
WBGene00305251,N.A.,N.A.
WBGene00305252,N.A.,"accumulated cell corpses, activity level variant, axon regeneration defective, axotomy response variant, cell corpse digestion variant, coelomocyte endocytosis defective, coiler, egg laying defective, embryonic lethal, fertility reduced, hypoxia hypersensitive, locomotion variant, long defecation cycle, microtubule organization biogenesis variant, phagosome maturation defective, phagosome sealing defective, pharyngeal pumping reduced, reduced brood size, regenerative axonal fusion defective, slow growth, uptake of yolk defective"
WBGene00305253,N.A.,N.A.
WBGene00305254,N.A.,N.A.
WBGene00305255,N.A.,"body wall muscle sarcomere morphology variant, locomotion variant, muscle birefringence variant, muscle cell morphology variant, muscle cell ultrastructure variant, reduced brood size, sluggish"
WBGene00305256,N.A.,N.A.
WBGene00305257,N.A.,N.A.
WBGene00305258,N.A.,"lethal, sterile"
WBGene00305259,N.A.,N.A.
WBGene00305260,N.A.,N.A.
WBGene00305261,N.A.,N.A.
WBGene00305262,N.A.,N.A.
WBGene00305263,N.A.,N.A.
WBGene00305264,N.A.,N.A.
WBGene00305265,N.A.,N.A.
WBGene00305266,N.A.,N.A.
WBGene00305267,N.A.,N.A.
WBGene00305268,N.A.,N.A.
WBGene00305269,N.A.,N.A.
WBGene00305270,N.A.,N.A.
WBGene00305271,N.A.,N.A.
WBGene00305272,N.A.,N.A.
WBGene00305273,N.A.,N.A.
WBGene00305274,N.A.,N.A.
WBGene00305275,N.A.,"hermaphrodite self sterile, male sperm fertilization defect, spermatozoa retro location defective, unfertilized oocytes laid"
WBGene00305276,N.A.,"alternative splicing defective, locomotion variant"
WBGene00305277,N.A.,X0 lethal
WBGene00305278,N.A.,N.A.
WBGene00305279,N.A.,N.A.
WBGene00305280,N.A.,N.A.
WBGene00305281,N.A.,N.A.
WBGene00305282,N.A.,N.A.
WBGene00305283,N.A.,N.A.
WBGene00305284,N.A.,N.A.
WBGene00305285,N.A.,"activity level variant, amplitude of sinusoidal movement variant, axon development variant, axon guidance variant, axon morphology variant, axon outgrowth variant, axon trajectory variant, backing decreased, backward point velocity decreased, body posture amplitude variant, body posture wavelength decreased, coiling frequency increased, constitutive egg laying, curly, dosage compensation variant, dumpy, forward locomotion decreased, forward point velocity variant, frequency of body bend variant, head bend angle variant, lethal, locomotion variant, loss of asymmetry AWC, loss of left right asymmetry, masculinized, nose movement variant, path curvature increased, pausing variant, roaming reduced, sex determination variant, short, sterile, tail bend angle variant, thin, transformer, turning frequency variant, XX lethal"
WBGene00305286,N.A.,N.A.
WBGene00305287,N.A.,N.A.
WBGene00305288,N.A.,"lethal, sterile"
WBGene00305289,N.A.,N.A.
WBGene00305290,N.A.,N.A.
WBGene00305291,N.A.,N.A.
WBGene00305292,N.A.,N.A.
WBGene00305293,N.A.,N.A.
WBGene00305294,N.A.,N.A.
WBGene00305295,N.A.,N.A.
WBGene00305296,N.A.,N.A.
WBGene00305297,N.A.,N.A.
WBGene00305298,N.A.,N.A.
WBGene00305299,N.A.,N.A.
WBGene00305300,N.A.,"fat associated bodies increased, protein subcellular localization variant"
WBGene00305301,N.A.,N.A.
WBGene00305302,N.A.,N.A.
WBGene00305303,N.A.,N.A.
WBGene00305304,N.A.,N.A.
WBGene00305305,N.A.,N.A.
WBGene00305306,N.A.,N.A.
WBGene00305307,N.A.,"high incidence male progeny, multivulva"
WBGene00305308,N.A.,N.A.
WBGene00305309,N.A.,N.A.
WBGene00305310,N.A.,gastrulation variant
WBGene00305311,N.A.,N.A.
WBGene00305312,N.A.,N.A.
WBGene00305313,N.A.,N.A.
WBGene00305314,N.A.,N.A.
WBGene00305315,N.A.,N.A.
WBGene00305316,N.A.,N.A.
WBGene00305317,N.A.,N.A.
WBGene00305318,N.A.,N.A.
WBGene00305319,N.A.,N.A.
WBGene00305320,N.A.,N.A.
WBGene00305321,N.A.,N.A.
WBGene00305322,N.A.,N.A.
WBGene00305323,N.A.,N.A.
WBGene00305324,N.A.,N.A.
WBGene00305325,N.A.,N.A.
WBGene00305326,N.A.,N.A.
WBGene00305327,N.A.,N.A.
WBGene00305328,N.A.,N.A.
WBGene00305329,N.A.,N.A.
WBGene00305330,N.A.,N.A.
WBGene00305331,N.A.,N.A.
WBGene00305332,N.A.,"cell migration variant, embryonic lethal"
WBGene00305333,N.A.,N.A.
WBGene00305334,N.A.,N.A.
WBGene00305335,N.A.,N.A.
WBGene00305336,N.A.,N.A.
WBGene00305337,N.A.,N.A.
WBGene00305338,N.A.,N.A.
WBGene00305339,N.A.,N.A.
WBGene00305340,N.A.,N.A.
WBGene00305341,N.A.,N.A.
WBGene00305342,N.A.,N.A.
WBGene00305343,N.A.,N.A.
WBGene00305344,N.A.,N.A.
WBGene00305345,N.A.,N.A.
WBGene00305346,N.A.,N.A.
WBGene00305347,N.A.,N.A.
WBGene00305348,N.A.,N.A.
WBGene00305349,N.A.,lethal
WBGene00305350,N.A.,N.A.
WBGene00305351,N.A.,N.A.
WBGene00305352,N.A.,N.A.
WBGene00305353,N.A.,N.A.
WBGene00305354,N.A.,N.A.
WBGene00305355,N.A.,transgene silencing variant
WBGene00305356,N.A.,transgene silencing variant
WBGene00305357,N.A.,N.A.
WBGene00305358,N.A.,N.A.
WBGene00305359,N.A.,N.A.
WBGene00305360,N.A.,N.A.
WBGene00305361,N.A.,N.A.
WBGene00305362,N.A.,N.A.
WBGene00305363,N.A.,"ectopic expression antibody, ectopic expression transgene, masculinization of germline, mRNA expression variant, sterile, transgene subcellular localization variant"
WBGene00305364,N.A.,N.A.
WBGene00305365,N.A.,N.A.
WBGene00305366,N.A.,N.A.
WBGene00305367,N.A.,N.A.
WBGene00305368,N.A.,N.A.
WBGene00305369,N.A.,N.A.
WBGene00305370,N.A.,N.A.
WBGene00305371,N.A.,N.A.
WBGene00305372,N.A.,N.A.
WBGene00305373,N.A.,N.A.
WBGene00305374,N.A.,N.A.
WBGene00305375,N.A.,N.A.
WBGene00305376,N.A.,N.A.
WBGene00305377,N.A.,N.A.
WBGene00305378,N.A.,N.A.
WBGene00305379,N.A.,N.A.
WBGene00305380,N.A.,N.A.
WBGene00305381,N.A.,N.A.
WBGene00305382,N.A.,N.A.
WBGene00305383,N.A.,N.A.
WBGene00305384,N.A.,N.A.
WBGene00305385,N.A.,N.A.
WBGene00305386,N.A.,N.A.
WBGene00305387,N.A.,N.A.
WBGene00305388,N.A.,N.A.
WBGene00305389,N.A.,N.A.
WBGene00305390,N.A.,N.A.
WBGene00305391,N.A.,N.A.
WBGene00305392,N.A.,"germ cell development variant, lethal, sterile"
WBGene00305393,N.A.,N.A.
WBGene00305394,N.A.,N.A.
WBGene00305395,N.A.,N.A.
WBGene00305396,N.A.,N.A.
WBGene00305397,N.A.,N.A.
WBGene00305398,N.A.,N.A.
WBGene00305399,N.A.,N.A.
WBGene00305400,N.A.,N.A.
WBGene00305401,N.A.,male fertility reduced
WBGene00305402,N.A.,N.A.
WBGene00305403,N.A.,N.A.
WBGene00305404,N.A.,N.A.
WBGene00305405,N.A.,N.A.
WBGene00305406,N.A.,N.A.
WBGene00305407,N.A.,N.A.
WBGene00305408,N.A.,N.A.
WBGene00305409,N.A.,N.A.
WBGene00305410,N.A.,N.A.
WBGene00305411,N.A.,N.A.
WBGene00305412,N.A.,N.A.
WBGene00305413,N.A.,"rays displaced, shortened life span, slow growth"
WBGene00305414,N.A.,N.A.
WBGene00305415,N.A.,N.A.
WBGene00305416,N.A.,N.A.
WBGene00305417,N.A.,"high incidence male progeny, male germline proliferation variant, protein expression ectopic, protein phosphorylation variant"
WBGene00305418,N.A.,N.A.
WBGene00305419,N.A.,N.A.
WBGene00305420,N.A.,N.A.
WBGene00305421,N.A.,N.A.
WBGene00305422,N.A.,N.A.
WBGene00305423,N.A.,N.A.
WBGene00305424,N.A.,N.A.
WBGene00305425,N.A.,N.A.
WBGene00305426,N.A.,N.A.
WBGene00305427,N.A.,N.A.
WBGene00305428,N.A.,N.A.
WBGene00305429,N.A.,N.A.
WBGene00305430,N.A.,N.A.
WBGene00305431,N.A.,N.A.
WBGene00305432,N.A.,N.A.
WBGene00305433,N.A.,N.A.
WBGene00305434,N.A.,N.A.
WBGene00305435,N.A.,N.A.
WBGene00305436,N.A.,"aldicarb resistant, amplitude of sinusoidal movement variant, backing decreased, backing not sustained, backing uncoordinated, backward point velocity decreased, body posture amplitude decreased, body posture wavelength decreased, coiling frequency increased, engulfment variant, fat, forward locomotion decreased, forward point velocity decreased, frequency of body bend variant, head bend angle variant, larval arrest, levamisole hypersensitive, nose movement variant, path curvature increased, pausing increased, roaming reduced, short, sluggish, tail bend angle variant, turning frequency variant"
WBGene00305437,N.A.,N.A.
WBGene00305438,N.A.,N.A.
WBGene00305439,N.A.,N.A.
WBGene00305440,N.A.,N.A.
WBGene00305441,N.A.,N.A.
WBGene00305442,N.A.,N.A.
WBGene00305443,N.A.,N.A.
WBGene00305444,N.A.,N.A.
WBGene00305445,N.A.,N.A.
WBGene00305446,N.A.,N.A.
WBGene00305447,N.A.,N.A.
WBGene00305448,N.A.,"lethal, reduced brood size, sterile"
WBGene00305449,N.A.,"lethal, reduced brood size, sterile"
WBGene00305450,N.A.,N.A.
WBGene00305451,N.A.,N.A.
WBGene00305452,N.A.,"alae morphology variant, amplitude of sinusoidal movement variant, backing decreased, backward point velocity variant, bag of worms, body posture amplitude decreased, body posture wavelength increased, cell differentiation variant, cell fate transformation, coiling frequency decreased, drug response variant, egg laying defective, exploded through vulva, fat, fewer seam cells, forward locomotion decreased, forward point velocity decreased, frequency of body bend variant, gonad migration variant, head bend angle variant, HSN migration variant, lethal, locomotion variant, long, lumpy, male mating efficiency reduced, male tail morphology variant, nose movement variant, organism morphology variable, P lineages variant, path curvature increased, pausing variant, protruding vulva, roaming reduced, roller, tail bend angle increased, transient bloating, turning frequency reduced, vulva development variant, vulva morphology variant, vulval cell induction variant"
WBGene00305453,N.A.,N.A.
WBGene00305454,N.A.,lethal
WBGene00305455,N.A.,N.A.
WBGene00305456,N.A.,N.A.
WBGene00305457,N.A.,N.A.
WBGene00305458,N.A.,"chemical hypersensitive, exploded through vulva, hypersensitive to protein aggregation induced paralysis, post translational processing variant, shortened life span, transgene expression increased, transgene expression reduced"
WBGene00305459,N.A.,N.A.
WBGene00305460,N.A.,"lethal, sterile"
WBGene00305461,N.A.,N.A.
WBGene00305462,N.A.,N.A.
WBGene00305463,N.A.,N.A.
WBGene00305464,N.A.,N.A.
WBGene00305465,N.A.,"aldicarb resistant, cell differentiation variant, constipated, current measurement variant, drug response variant, ectopic expression transgene, expulsion defective, gut obstructed, lethal, locomotion variant, mitochondria localization variant, neuron degeneration enhanced, neuron degeneration variant, neuron morphology variant, pattern of transgene expression variant, presynaptic region morphology variant, sterile"
WBGene00305466,N.A.,N.A.
WBGene00305467,N.A.,N.A.
WBGene00305468,N.A.,N.A.
WBGene00305469,N.A.,N.A.
WBGene00305470,N.A.,N.A.
WBGene00305471,N.A.,N.A.
WBGene00305472,N.A.,N.A.
WBGene00305473,N.A.,N.A.
WBGene00305474,N.A.,N.A.
WBGene00305475,N.A.,N.A.
WBGene00305476,N.A.,N.A.
WBGene00305477,N.A.,N.A.
WBGene00305478,N.A.,N.A.
WBGene00305479,N.A.,"ectopic expression antibody, ectopic expression transgene, lethal, masculinization of germline, mRNA expression variant, sterile, transgene subcellular localization variant"
WBGene00305480,N.A.,N.A.
WBGene00305481,N.A.,N.A.
WBGene00305482,N.A.,N.A.
WBGene00305483,N.A.,N.A.
WBGene00305484,N.A.,N.A.
WBGene00305485,N.A.,N.A.
WBGene00305486,N.A.,N.A.
WBGene00305487,N.A.,N.A.
WBGene00305488,N.A.,N.A.
WBGene00305489,N.A.,N.A.
WBGene00305490,N.A.,"lethal, sterile"
WBGene00305491,N.A.,"lethal, sterile"
WBGene00305492,N.A.,"lethal, sterile"
WBGene00305493,N.A.,"lethal, sterile"
WBGene00305494,N.A.,N.A.
WBGene00305495,N.A.,"extended life span, larval arrest, maternal effect sterile, mRNA levels reduced, multivulva, oocyte meiotic maturation variant, reduced brood size, sterile, unfertilized oocytes laid"
WBGene00305496,N.A.,N.A.
WBGene00305497,N.A.,N.A.
WBGene00305498,N.A.,N.A.
WBGene00305499,N.A.,"mRNA expression variant, mRNA levels reduced, no induction of antimicrobial peptide expression after infection, pathogen susceptibility increased, transgene expression reduced"
WBGene00305500,N.A.,N.A.
WBGene00305501,N.A.,N.A.
WBGene00305502,N.A.,N.A.
WBGene00305503,N.A.,N.A.
WBGene00305504,N.A.,N.A.
WBGene00305505,N.A.,N.A.
WBGene00305506,N.A.,N.A.
WBGene00305507,N.A.,N.A.
WBGene00305508,N.A.,N.A.
WBGene00305509,N.A.,"lethal, sterile"
WBGene00305510,N.A.,N.A.
WBGene00305511,N.A.,"amphid sheath cell morphology variant, dendrite morphology variant, locomotion variant, reduced brood size, sensory system variant"
WBGene00305512,N.A.,"locomotion variant, reduced brood size, sensory system variant"
WBGene00305513,N.A.,N.A.
WBGene00305514,N.A.,N.A.
WBGene00305515,N.A.,N.A.
WBGene00305516,N.A.,N.A.
WBGene00305517,N.A.,N.A.
WBGene00305518,N.A.,N.A.
WBGene00305519,N.A.,N.A.
WBGene00305520,N.A.,"dauer cuticle variant, dauer formation variant, organism hypersensitive desiccation, organism osmotic stress hypersensitive, thermotolerance reduced"
WBGene00305521,N.A.,N.A.
WBGene00305522,N.A.,N.A.
WBGene00305523,N.A.,N.A.
WBGene00305524,N.A.,N.A.
WBGene00305525,N.A.,N.A.
WBGene00305526,N.A.,N.A.
WBGene00305527,N.A.,N.A.
WBGene00305528,N.A.,N.A.
WBGene00305529,N.A.,N.A.
WBGene00305530,N.A.,N.A.
WBGene00305531,N.A.,N.A.
WBGene00305532,N.A.,"lethal, sterile"
WBGene00305533,N.A.,"lethal, sterile"
WBGene00305534,N.A.,N.A.
WBGene00305535,N.A.,"cell corpse number decreased, distal tip cell migration variant, embryonic lethal, larval lethal"
WBGene00305536,N.A.,N.A.
WBGene00305537,N.A.,"aldicarb resistant, neuron degeneration reduced, presynaptic component localization variant, shortened life span"
WBGene00305538,N.A.,N.A.
WBGene00305539,N.A.,N.A.
WBGene00305540,N.A.,N.A.
WBGene00305541,N.A.,N.A.
WBGene00305542,N.A.,N.A.
WBGene00305543,N.A.,N.A.
WBGene00305544,N.A.,N.A.
WBGene00305545,N.A.,N.A.
WBGene00305546,N.A.,N.A.
WBGene00305547,N.A.,N.A.
WBGene00305548,N.A.,N.A.
WBGene00305549,N.A.,N.A.
WBGene00305550,N.A.,N.A.
WBGene00305551,N.A.,N.A.
WBGene00305552,N.A.,"cell fate transformation, cell polarity reversed, cell polarity variant, egg laying defective, embryonic lethal, excess pharyngeal cells, exploded through vulva, gonad migration variant, HSN migration variant, lethal, locomotion variant, male gonad morphology variant, maternal effect lethal emb, no Intestine, P lineages variant, protruding vulva, Q neuroblast lineage migration variant, spindle orientation defective early emb, sterile, vulva morphology variant, vulval cell induction reduced, vulval cell induction variant"
